STATION,LAT,LON,ELEV(M),X,Y,Z,TEMP,DAY_OF_YEAR
722075,,,,,,,49.5,277
722075,,,,,,,51.7,278
722075,,,,,,,55.8,279
722075,,,,,,,56.2,280
722075,,,,,,,55.5,281
722075,,,,,,,56.8,282
722075,,,,,,,59.6,283
722075,,,,,,,55.6,284
722075,,,,,,,41.3,285
722075,,,,,,,42.2,286
722075,,,,,,,42.9,287
722075,,,,,,,48.4,288
722075,,,,,,,47.3,289
722075,,,,,,,43.9,290
722075,,,,,,,45.3,291
722075,,,,,,,52.4,292
722075,,,,,,,55.4,293
722075,,,,,,,55.2,294
722075,,,,,,,47.8,295
722075,,,,,,,45.4,296
722075,,,,,,,44.2,297
722075,,,,,,,40.8,298
722075,,,,,,,38.0,299
722075,,,,,,,46.5,300
722075,,,,,,,44.1,301
722075,,,,,,,37.0,302
722075,,,,,,,34.5,303
722075,,,,,,,30.8,304
722075,,,,,,,26.7,305
722075,,,,,,,36.4,306
722075,,,,,,,36.3,307
722075,,,,,,,44.2,308
722075,,,,,,,35.5,309
722075,,,,,,,36.8,310
722075,,,,,,,26.9,311
722075,,,,,,,20.9,312
722075,,,,,,,31.9,313
722075,,,,,,,38.7,314
722075,,,,,,,26.2,315
722075,,,,,,,9.8,316
722075,,,,,,,13.6,317
722075,,,,,,,25.9,318
722075,,,,,,,25.4,319
722075,,,,,,,30.1,320
722075,,,,,,,31.6,321
722075,,,,,,,34.5,322
722075,,,,,,,34.7,323
722075,,,,,,,39.7,324
722075,,,,,,,45.0,325
722075,,,,,,,33.4,326
722075,,,,,,,30.1,327
722075,,,,,,,37.0,328
722075,,,,,,,40.3,329
722075,,,,,,,39.3,330
722075,,,,,,,42.3,331
722075,,,,,,,32.5,332
722075,,,,,,,34.1,333
722075,,,,,,,36.0,334
722075,,,,,,,37.7,335
722075,,,,,,,30.1,336
722075,,,,,,,31.8,337
722075,,,,,,,35.3,338
722075,,,,,,,33.4,339
722075,,,,,,,36.1,340
722075,,,,,,,29.1,341
722075,,,,,,,34.5,342
722075,,,,,,,43.0,343
722075,,,,,,,19.1,344
722075,,,,,,,16.5,345
722075,,,,,,,25.0,346
722075,,,,,,,35.5,347
722075,,,,,,,29.8,348
722075,,,,,,,21.4,349
722075,,,,,,,24.3,350
722075,,,,,,,22.2,351
722075,,,,,,,18.3,352
722075,,,,,,,20.7,353
722075,,,,,,,27.2,354
722075,,,,,,,32.0,355
722075,,,,,,,34.0,356
722075,,,,,,,36.2,357
722075,,,,,,,36.8,358
722075,,,,,,,41.9,359
722075,,,,,,,48.7,360
722075,,,,,,,33.7,361
722075,,,,,,,32.1,362
722075,,,,,,,51.2,363
722075,,,,,,,36.6,364
722075,,,,,,,25.7,365
