STATION,LAT,LON,ELEV(M),X,Y,Z,TEMP,DAY_OF_YEAR
720405,41.412,-96.109,395.9,-509832.381994,-4763539.99673,4197109.22945,71.5,100
720406,38.15,-122.55,1.2,-2702101.23525,-4233292.50415,3918551.4071,56.7,100
720407,39.928,-74.292,25.0,1326021.89079,-4714945.88543,4071874.29147,59.0,100
720408,39.983,-75.867,201.2,1195003.76943,-4745938.77054,4076668.7006,60.3,100
720408,39.983,-75.867,201.2,1195003.76943,-4745938.77054,4076668.7006,58.8,100
720409,34.85,-83.983,582.0,549320.568795,-5211561.03259,3624555.59197,58.5,100
720411,36.422,-105.29,2554.2,-1355545.24866,-4958438.89056,3767489.78607,47.3,100
720411,36.422,-105.29,2554.2,-1355545.24866,-4958438.89056,3767489.78607,47.7,100
720412,41.828,-94.16,308.8,-345298.899986,-4747450.18205,4231593.33297,67.1,100
720413,34.267,-87.6,284.1,220972.565098,-5272245.68344,3571121.38942,67.7,100
720413,34.267,-87.6,284.1,220972.565098,-5272245.68344,3571121.38942,65.0,100
720414,40.333,-82.517,363.0,634117.239286,-4827666.91498,4106476.24084,63.2,100
720414,40.333,-82.517,363.0,634117.239286,-4827666.91498,4106476.24084,64.3,100
720415,43.433,-86.0,253.3,323614.031003,-4627896.25336,4362733.35741,66.3,100
720415,43.433,-86.0,253.3,323614.031003,-4627896.25336,4362733.35741,67.3,100
720417,37.583,-101.733,1013.5,-1029281.63222,-4955837.01108,3869486.54042,66.1,100
720422,39.428,-101.046,971.1,-945346.813555,-4842627.20408,4029748.90333,61.2,100
720425,37.163,-101.371,954.9,-1003520.10771,-4989938.82946,3832401.49638,72.3,100
720426,37.158,-95.778,251.2,-512393.982523,-5063763.23954,3831534.15634,71.0,100
720426,37.158,-95.778,251.2,-512393.982523,-5063763.23954,3831534.15634,71.4,100
720436,37.45,-94.733,290.2,-418339.404128,-5052722.83644,3857336.50879,72.8,100
720437,39.767,-101.8,1040.3,-1004095.27785,-4806333.00176,4058799.2708,58.1,100
720437,39.767,-101.8,1040.3,-1004095.27785,-4806333.00176,4058799.2708,54.5,100
720446,37.814,-85.5,203.9,395847.660615,-5029721.42011,3889279.88156,60.7,100
720447,36.665,-88.373,176.2,145439.312131,-5120355.75932,3787742.69782,66.2,100
720448,37.578,-84.77,312.1,461364.849552,-5040305.85779,3868618.9373,59.8,100
720448,37.578,-84.77,312.1,461364.849552,-5040305.85779,3868618.9373,60.9,100
720449,38.555,-82.738,166.4,631325.336579,-4954333.93059,3953909.38276,57.9,100
720451,37.686,-85.925,236.2,359148.319682,-5041220.80246,3878065.98721,61.1,100
720452,38.542,-83.743,278.3,544438.443071,-4965625.9963,3952850.46406,62.2,100
720455,37.633,-84.333,305.1,499425.51825,-5032927.89363,3873450.99272,63.8,100
720456,38.067,-83.983,311.2,527062.435343,-5000391.76723,3911493.45398,58.8,100
720458,37.751,-82.637,372.5,647144.148772,-5008052.72743,3883856.44413,65.7,100
720458,37.751,-82.637,372.5,647144.148772,-5008052.72743,3883856.44413,64.7,100
720464,37.562,-82.566,449.0,655015.60685,-5020015.5661,3867294.79922,64.4,100
720465,36.8,-84.2,358.8,516762.171744,-5087428.79021,3799858.97511,61.9,100
720467,30.817,-89.867,36.6,12726.320258,-5482429.54769,3248504.69185,68.6,100
720467,30.817,-89.867,36.6,12726.320258,-5482429.54769,3248504.69185,68.1,100
720468,30.558,-92.099,23.2,-201337.780364,-5493398.73153,3223804.93041,71.4,100
720472,44.992,-70.665,556.3,1496071.46215,-4263758.06108,4487113.01773,42.9,100
720475,40.353,-94.915,350.5,-417052.565819,-4849788.41941,4108160.91784,71.8,100
720476,39.725,-91.444,234.7,-123793.400493,-4910898.61469,4054698.31316,73.5,100
720477,37.648,-92.652,402.6,-233971.8423,-5051291.21763,3874828.93113,69.5,100
720478,38.611,-94.342,278.9,-377837.300272,-4976283.92098,3958839.12465,71.8,100
720479,36.9,-94.017,401.1,-357756.822638,-5094438.59516,3808765.17134,66.4,100
720481,36.601,-89.992,89.9,715.806922444,-5126589.41698,3781991.81072,67.3,100
720482,39.464,-92.427,264.3,-208808.404169,-4926528.17035,4032386.61053,74.4,100
720483,39.096,-93.203,237.4,-276955.035249,-4949054.30721,4000743.60027,74.1,100
720484,39.158,-91.818,250.9,-157115.753152,-4949971.53918,4006091.89067,71.5,100
720488,36.899,-89.562,96.0,39038.8250199,-5106658.30882,3808493.23559,67.6,100
720491,46.217,-97.633,386.2,-587256.572602,-4382029.54611,4582248.83256,46.6,100
720492,44.567,-72.017,362.1,1405281.97002,-4329383.59052,4453449.5438,47.5,100
720493,44.883,-72.233,278.9,1381391.65994,-4311060.49098,4478341.83368,48.5,100
720493,44.883,-72.233,278.9,1381391.65994,-4311060.49098,4478341.83368,47.2,100
720494,44.933,-73.1,70.1,1314817.64639,-4327574.44674,4482129.87669,49.6,100
720498,37.4,-77.517,72.2,1096574.17278,-4953281.05066,3852796.94082,61.7,100
720498,37.4,-77.517,72.2,1096574.17278,-4953281.05066,3852796.94082,64.7,100
720499,36.783,-76.45,7.0,1198285.23908,-4972098.39583,3798137.4467,58.8,100
720499,36.783,-76.45,7.0,1198285.23908,-4972098.39583,3798137.4467,61.9,100
720501,37.85,-76.883,41.2,1144390.61953,-4911124.38525,3892336.05112,61.0,100
720501,37.85,-76.883,41.2,1144390.61953,-4911124.38525,3892336.05112,59.6,100
720504,33.57,-86.051,160.9,366374.51072,-5307283.63281,3506894.91298,63.6,100
720505,33.902,-87.314,147.2,248344.875901,-5293629.18504,3537511.58101,63.4,100
720507,33.313,-86.926,213.1,286128.794935,-5327989.41045,3483137.47431,68.2,100
720508,33.172,-86.306,173.4,344315.501131,-5333103.20834,3470036.23646,64.8,100
720516,42.711,-110.942,1896.2,-1678164.98235,-4385031.84316,4305252.73129,37.0,100
720517,41.824,-110.557,2220.5,-1672022.97046,-4458501.93386,4232537.05848,35.5,100
720518,41.393,-110.406,2145.5,-1671334.43514,-4492642.78995,4196683.19923,37.8,100
720519,44.867,-108.793,1552.0,-1459059.40126,-4287675.85484,4477979.87917,38.4,100
720521,41.444,-106.828,2138.5,-1386616.22092,-4584596.12054,4200927.53914,36.1,100
720521,41.444,-106.828,2138.5,-1386616.22092,-4584596.12054,4200927.53914,35.6,100
720522,43.548,-109.69,2224.1,-1560607.41531,-4361005.63252,4373360.92655,36.0,100
720522,43.548,-109.69,2224.1,-1560607.41531,-4361005.63252,4373360.92655,35.0,100
720528,38.698,-106.07,2421.9,-1380250.83618,-4791405.74762,3967721.30472,45.1,100
720529,38.239,-108.563,1810.5,-1597299.15318,-4756436.88181,3927435.33952,55.0,100
720531,38.783,-108.067,1583.1,-1544344.70074,-4734160.32253,3974558.5928,57.4,100
720531,38.783,-108.067,1583.1,-1544344.70074,-4734160.32253,3974558.5928,59.3,100
720532,38.533,-106.05,2294.2,-1381712.23704,-4802780.92648,3953324.80026,49.7,100
720532,38.533,-106.05,2294.2,-1381712.23704,-4802780.92648,3953324.80026,50.9,100
720533,40.033,-105.217,1612.1,-1283921.41211,-4720080.30227,4081828.74709,53.2,100
720534,40.017,-105.05,1564.2,-1270445.58566,-4724870.7022,4080437.17504,54.6,100
720535,40.333,-103.8,1393.2,-1161638.85461,-4729346.24783,4107143.01609,52.3,100
720535,40.333,-103.8,1393.2,-1161638.85461,-4729346.24783,4107143.01609,53.7,100
720536,40.09,-105.917,2500.3,-1340559.76825,-4700777.57477,4087245.92385,40.7,100
720537,40.567,-102.267,1137.2,-1031076.37816,-4742063.69602,4126754.05261,56.4,100
720538,40.167,-105.167,1541.1,-1277279.59211,-4711894.21067,4093167.01995,55.5,100
720538,40.167,-105.167,1541.1,-1277279.59211,-4711894.21067,4093167.01995,54.0,100
720539,37.283,-107.05,2335.1,-1490333.81985,-4859490.98765,3843843.95465,47.1,100
720539,37.283,-107.05,2335.1,-1490333.81985,-4859490.98765,3843843.95465,48.5,100
720541,34.383,-89.55,137.8,41386.1105257,-5269334.90338,3581666.04671,65.6,100
720541,34.383,-89.55,137.8,41386.1105257,-5269334.90338,3581666.04671,68.1,100
720542,30.5,-97.967,375.2,-762405.998718,-5447564.66114,3218444.97407,70.8,100
720543,41.3,-85.067,268.2,412658.390364,-4781093.50346,4187687.56516,65.3,100
720543,41.3,-85.067,268.2,412658.390364,-4781093.50346,4187687.56516,64.2,100
720545,41.384,-72.506,127.1,1440684.06243,-4570935.09076,4194598.66907,53.9,100
720549,39.183,-119.733,1432.3,-2455803.3906,-4299725.53073,4008990.12011,48.6,100
720551,39.0,-119.751,1440.5,-2463515.66792,-4310083.84562,3993223.55878,46.3,100
720553,40.701,-74.009,2.1,1333990.64091,-4654937.75504,4137308.27507,59.0,100
720558,35.433,-99.4,610.2,-849821.168505,-5133353.54456,3677467.41677,70.6,100
720558,35.433,-99.4,610.2,-849821.168505,-5133353.54456,3677467.41677,71.3,100
720559,34.033,-95.533,174.0,-510187.365628,-5266701.43992,3549578.00618,71.8,100
720561,36.175,-96.152,272.2,-552419.615527,-5125094.9441,3744044.46811,74.4,100
720561,36.175,-96.152,272.2,-552419.615527,-5125094.9441,3744044.46811,74.1,100
720565,40.482,-111.429,1718.2,-1775386.56555,-4523511.70227,4119955.26198,42.0,100
720567,41.552,-112.062,1288.1,-1795832.41952,-4431030.29335,4209350.38567,44.2,100
720572,40.612,-112.351,1316.1,-1844259.90092,-4485393.88294,4130665.90986,45.9,100
720575,40.031,-86.251,281.0,319782.530451,-4880243.71689,4080802.50172,62.8,100
720576,38.533,-121.783,21.0,-2631308.25619,-4246678.68554,3951908.67558,61.0,100
